"","joblinks.1.500.","soft_skills"
"24","https://www.indeed.com//rc/clk?jk=476f0051aa859318&fccid=6ae0e4a8a0a337cd""","communication, experience, management"
"25","https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0CZUO70VSdYKA8PR3jfrSh5ljhqJhfDt0PzQCMubt8cRpSGXfS6RREm3WGyDKxAueggOhh4_LG9FS12yDrPzsJR3w4jfEewelWxeGPPVbRiVPMzgXEV9yiEa8__xaMtxOdGiqbZpkoQV_oXs4Q9R-gb2DfhybLzablLCzQMR14x__uN6HBOivu59y0KdLBaXnztYdTFEiSvVmHxMO57MMZQUs_DZg8MBQquvXLgavBNQ3dvT9NAjQJHTkKNvLk78wcGPvk0DlgUeYc4GiDe0nKiJdKmTslsjLyhN5N5nY5-6D0hWy0y4thU4cvVJzzjjmmzGDM9-I4GM0VH3kvjCNBNgOrVXs1hSlnd_hHYzV_eRpF-RLP3cEWCdSojTSVk6G4=&p=3&sk=&fvj=0""","dedicated, experience, leadership, organization, research, social, training"
"26","https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0AafSo2WvTKTdtig8mIz8uV2y1gdMEOoCxWUCT9kuSVdHnZLLP2Wtc1nzfNFM_lPl7mktZf2vhwbD7OcGzGH_9WbmKHxJ29NRMAkT3PVR5n88dKIjT2Ba-q7z6hqzSehtRfPiej6kGUy1JXg9H0bDHoonjQQEKIWd6wO10TvefNeEBV1RgScZFpDs_zvMG2RfDRBq7xZInbJDnVRPNblOocUpa5Iq1esQIzfzP4h188yZHCNpwSn69GhUUKTQ9abSGHhShWuyjDr0IESumrqmEjTtN4ti4ieiwY8tXHkoS4fUBwRqbJ3N4mLfw1EP3npbdjZVgsCTjK4o5RPFIFXNbSF5iJnLqV8TJL6xTEk2kI_3WTisKohnwxprAU4pYcvmHfMUHk4tjAkqaq7ZreC2NpRpyybSpT1A11yf_wymPFFPWvWIbJ02Y8mQazO7Q6EA3fgfqOIeZ7pYGoEE6InN_bSoGnNCTH58j5cXJiZL41EdxcpuF3rxhOcRbexaUxl9iJE3e4SAkdrfZBZWSQrpmB_eUoE0hFTxS7GMH1e5ba7JU3bH7Khxb-oYGKfzPpwbZ3oYuqANOwNBRYQVUVeah1-AfZxT53C8OS_yoEwNKq6IDNTmLC2PN8RUW6DHs4DaBZjRvRZa5WNg==&p=4&sk=&fvj=0""","experience, interpersonal, organization, research, social, training"
"27","https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0AKvx1StreRZ4gELVY3ypo3Yc-9qYqTvUfWWDCFukc8LAOVmHxGSbg-Ag6ukb0J2CCuffWw7MhJ6VKNPLLyhyY0hAEcDz4Ml4h7KXZMFRlhAZ8K6LVVsCKKy7wjMPVX177fkFACIuRHiULOdkxob46EFdr7iEW8b4D8_pj20kbEd2RpDqcg9zxXoeQoxSukuLBAb0bF2UB0lGTCXdRw93CnikHzeamCfGrJd5Y7-h8RiTTrCFK_amSmOyYRHVfo-p3cCYmstwQ9eFVqQuJhgV2K0zNcM3MkhlseA2vx0xY9J_hIM51H_Jn8zq13cYGb_VI0XG2IdVvZCdSzYQ-jfBXmPYxUykNaBiu4owvvMErL8tsPn8cFzNiOpOh-CbqZwQWWtGZCMiI7lMArPFyLVASvHNBEggYO_aLc2t3Txd_jYQ==&p=5&sk=&fvj=0""","experience"
"28","https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0D3zZ_ASCFyv4hXru9Ra-w9vKx6N-cVz9iFs_U0KKU9L-3GFnOhmdpXzjMyPLwXNksCArZwufjRDzDXoeoJlXKvVbTMVPm9qKyHcDWFLKnR2KV5UwQbMTCwyXav6KeMls2GYSreHN3R7FHV3DR-USb1J27x87bOhbnaSJ1qeFIuMeDMlD-cWCCKUm55oMESzUV9IXFcCUhf0rDgn_leEYuAZ4aFrnonvDx0Ns4ztIsLI3jKteTrnZran7MMGlOzalwrjAPi1sDOSEuzFHunp9BbcFI6WTzgpJeyiBJ6kMXq2hX83JdCTOZMk7y_O26IxkyLTPkrQZ-DZxGSUaTUGErywlCTECCPKfkYWpg-drNBq2ZNgmAVcR1VAUwjQAuCYo43XO5P9xuxYLsHDRll8-a_&p=1&sk=&fvj=0""",""
"29","https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DAgAc92q6iRaEfcJAuaSGKVeICOvW3P0dpzElS8ir45AVr2KnXyohmCH6uVD67Lw5lojOG1qGLWQ5WNTFnkL9ujpK6d3TAT5gkXlAGGxGmimJmJET2ZiOEfzGEbYso07GGWa7N0fcCYmDk4YJScqM1rc1jxrpVOWyEDUyMp_rOo9GYq3m_ffVhLm5k8wU-vqtYG68_W56qWKccEFODA6-LTTEISHJyV0N3uDjQlPli1hGJr4oatAxsjvJlwWuEH7QunSgFVhblVbUCJNN74xe3siKmF9p04GzOaZZ0Ck-fvQ3eH8BZbb-rNaZaips5XIMwU097ThlxCKu84gCUfo_OAw4EZPNvk2vbkwnYK1xVWrdMf4l0tTNYgGjoMfeljNI=&p=2&sk=&fvj=0""","experience, management, organization, presentation, research"
"30","https://www.indeed.com//rc/clk?jk=23ea69db3c448889&fccid=d945bab513bef0db""","communication, critical thinker, experience, flexible, inspiring, management, mentoring, presentation, research, social, team work, training"
"31","https://www.indeed.com//rc/clk?jk=3f2142f3098624a6&fccid=086cb533b5438773""","decision making, experience, team player"
"32","https://www.indeed.com//rc/clk?jk=fcfefc64ecddb0eb&fccid=1c70eede37c5caee""","experience, social"
"33","https://www.indeed.com//rc/clk?jk=b006d87ebf987895&fccid=6576e7250aa78c3c""","communication, experience, innovator, interviewing, knowledge management, leadership, management, multitasking, organization, research, social, verbal communication"
