"","SCHOOL","PROGRAM","DEGREE","ONLINE","ONCAMPUS","COUNTRY","STATE","CITY","DEPARTMENT","URL","skills"
"385","Middle Tennessee State University","Master of Science in Professional Science (M.S.) with a concentration in Health Care Informatics","M",TRUE,TRUE,"US","TN","Murfreesboro","College of Basic and Applied Sciences","http://catalog.mtsu.edu/preview_program.php?catoid=9&poid=2308&returnto=377","communication, experience, organization, presentation, social"
"386","Middle Tennessee State University","Master of Science in Information Systems (Business Intelligence and Analytics Concentration)","M",FALSE,TRUE,"US","TN","Murfreesboro","Department of Computer Information Systems","http://www.mtsu.edu/graduate/programs/info_bia.php",""
"387","Tennessee Technological University","Professional Science Master's Degree in Environmental Informatics","M",TRUE,FALSE,"US","TN","Cookeville","College of Interdisciplinary Studies","https://www.tntech.edu/is/ses/psm/psmei","dedicated, experience, research, social"
"388","The University of Tennessee","Master of Science in Business Analytics","M",FALSE,TRUE,"US","TN","Knoxville","College of Business Administration","http://bus.utk.edu/soms/analytics/","experience, management, research"
"389","The University of Tennessee","MBA with Business Analytics Concentration","M",TRUE,FALSE,"US","TN","Knoxville","College of Business Administration","http://mba.utk.edu/program-basics/business-analytics.asp","decision making, management"
"390","The University of Tennessee at Chattanooga","Professional MBA with Business Analytics","M",TRUE,FALSE,"US","TN","Chattanooga","College of Business","http://www.utc.edu/college-business/academic-programs/mba/index.php",""
"391","University of Memphis","Master's Program in Bioinformatics","M",TRUE,FALSE,"US","TN","Memphis","College of Arts and Sciences","http://memphis.edu/binf/","communication, experience, flexible, research, social, training"
"392","Southern Methodist University","Statistics and Data Analytics","M",FALSE,TRUE,"US","TX","Dallas","Statistics","http://www.smu.edu/Dedman/Academics/Departments/Statistics/AppliedMSProgram","competitive, experience, management, organization, presentation, research, social, training"
"393","Southern Methodist University","Online Master of Science in Data Science","M",TRUE,FALSE,"US","TX","Dallas","Data Science","http://datascience.smu.edu","communication, dedicated, experience, leadership, presentation, social"
"394","St. Mary's University","Data Analytics","B",FALSE,TRUE,"US","TX","San Antonio","Business","https://www.stmarytx.edu/academics/business/undergraduate/accounting-data-analytics-major/","dedicated, experience, leadership, management, research, social"
"395","Tarleton State University","M.S. in Mathematical Data Mining","M",FALSE,TRUE,"US","TX","Stephenville","Department of Mathematics","http://www.tarleton.edu/Costweb/math/degrees/graduate.html#MSDataMining",""
"396","Texas A & M University-College Station","M.S. in Analytics","M",TRUE,FALSE,"US","TX","College Station","Department of Statistics","http://analytics.stat.tamu.edu/","competitive, experience, innovator, organization, training"
